neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
0,38,1.31566,103.82666,2,4.762173935,7,56,2.995732274,365,-0.708824685
0,29,1.29671,103.83999,1,4.553876892,1,113,3.871201011,362,-0.9024464
0,19,1.30789,103.89646,2,5.068904202,14,4,0,0,-0.13798975
0,15,1.31512,103.85343,1,4.094344562,90,42,1.098612289,339,-1.151476595
4,14,1.34702,103.72274,1,4.143134726,3,7,0.693147181,365,-1.014201571
0,6,1.33347,103.78634,2,5.347107531,1,0,0,0,-0.991843047
0,11,1.31503,103.88605,2,4.553876892,4,64,4.304065093,78,-0.956975911
4,13,1.34746,103.73203,1,3.33220451,1,0,0,0,-0.564601195
0,38,1.29377,103.82844,2,5.068904202,30,170,0,148,-0.159539323
0,15,1.32712,103.86468,2,4.86753445,3,39,0,321,-0.390521994
0,4,1.27303,103.82783,1,4.48863637,10,1,0,0,0.092456514
0,39,1.33078,103.86782,2,5.38907173,1,0,0,0,-1.885894495
0,11,1.31025,103.88326,1,4.094344562,1,131,3.663561646,353,-0.78696244
0,11,1.31107,103.88292,1,4.094344562,1,120,3.663561646,365,-0.615871631
0,11,1.31045,103.88114,1,4.094344562,1,209,3.663561646,342,-0.705139091
0,30,1.30115,103.8479,2,5.398162702,5,0,0,0,-1.16270283
0,21,1.30475,103.84032,1,4.584967479,3,8,2.995732274,364,-0.662645488
0,15,1.31503,103.85116,1,4.248495242,90,5,1.098612289,351,-0.805932246
0,10,1.27522,103.84696,2,5.963579344,2,166,2.197224577,325,-1.666863514
1,1,1.31467,103.93974,2,4.927253685,1,41,0,365,0.404293269
0,24,1.28142,103.84522,2,5.529429088,1,2,0,0,-1.033072207
0,22,1.32546,103.8519,2,4.997212274,3,28,5.111987788,302,-0.070551829
0,11,1.31473,103.88733,2,4.521788577,5,37,4.304065093,15,-0.637774017
0,15,1.29775,103.88341,2,4.615120517,90,5,0,300,-0.062026991
3,33,1.34432,103.86255,1,4.356708827,1,68,1.098612289,71,-0.191645284
0,38,1.31617,103.82694,2,5.480638923,7,16,2.995732274,365,-0.815110777
